Date,Injection Count,Trans-stilbene ent 1,Trans-stilbene ent2,Flavanone ent 1,Flanone ent 2,Trans-stilbene ent 1,Trans-stilbene ent2,Flavanone ent 1,Flanone ent 2,Trans-stilbene ent 1,Trans-stilbene ent2,Flavanone ent 1,Flanone ent 2,Trans-stilbene ent 1,Trans-stilbene ent2,Flavanone ent 1,Flanone ent 2,Trans-stilbene ent 1,Trans-stilbene ent2,Flavanone ent 1,Flanone ent 2,Trans-stilbene ent 1,Trans-stilbene ent2,Flavanone ent 1,Flanone ent 2
12/14/21,,1.09,1.34,2.28,3.86,0.88,1.05,1.15,1.23,0.71,0.81,1.2,1.25,0.81,0.84,1.72,3.34,3.25,4.4,4.2,4.82,0.96,1.04,2.08,2.98
12/20/21,,1.04,1.25,2.16,3.6,0.9,1.09,1.16,1.25,0.72,0.82,1.21,1.26,0.8,0.82,1.71,3.3,3.29,4.47,4.25,4.88,0.94,0.99,1.99,2.68
1/3/22,,1.04,1.25,2.12,3.57,0.89,1.05,1.15,1.24,0.71,0.82,1.21,1.25,0.82,0.82,1.7,3.26,3.28,4.45,4.24,4.86,0.95,1.01,2.04,2.75
1/10/22,1619,1.09,1.33,2.28,3.89,0.89,1.06,1.15,1.24,0.71,0.82,1.21,1.26,0.82,0.82,1.71,3.27,3.29,4.46,4.25,4.87,0.96,1.01,2.04,2.75
1/17/22,1927,1.21,1.52,2.5,4.37,0.89,1.07,1.16,1.24,0.72,0.82,1.22,1.27,0.82,0.82,1.71,3.27,3.3,4.47,4.26,4.88,0.96,1.02,2.05,2.77
1/24/22,2229,1.14,1.4,2.4,4.15,0.89,1.08,1.16,1.25,0.72,0.83,1.22,1.27,0.84,0.84,1.75,3.38,3.3,4.47,4.24,4.87,0.97,1.05,2.08,2.95
1/31/22,2529,1.17,1.54,2.44,4.26,0.88,1.08,1.15,1.24,0.71,0.82,1.21,1.26,0.84,0.84,1.74,3.41,3.3,4.46,4.26,4.89,0.95,1.01,2.05,2.78
2/7/22,3078,1.07,1.29,2.21,3.69,0.89,1.08,1.15,1.24,0.71,0.82,1.21,1.26,0.84,0.84,1.74,3.36,3.29,4.46,4.25,4.88,0.95,1.02,2.03,2.8
2/14/22,3157,1.07,1.28,2.2,3.69,0.89,1.09,1.16,1.25,0.72,0.83,1.22,1.27,0.84,0.84,1.75,3.4,3.28,4.44,4.23,4.85,0.97,1.04,2.07,2.88
2/21/22,3420,1.08,1.29,2.21,3.67,0.89,1.08,1.15,1.24,0.71,0.83,1.21,1.26,0.83,0.83,1.73,3.35,3.24,4.38,4.17,4.77,0.92,0.98,1.96,2.66
3/14/22,4985,1.08,1.32,2.23,3.71,0.89,1.08,1.15,1.24,0.71,0.82,1.2,1.25,0.81,0.81,1.69,3.24,3.26,4.41,4.2,4.8,0.96,1.02,2.04,2.76
4/4/22,5656,1.14,1.43,2.37,4.1,0.89,1.07,1.15,1.24,0.71,0.82,1.21,1.25,0.83,0.83,1.72,3.3,3.23,4.37,4.15,4.75,0.96,1.02,2.05,2.78
4/18/22,5767,1.09,1.32,2.28,3.87,0.88,1.08,1.14,1.24,0.71,0.82,1.21,1.26,0.83,0.85,1.78,3.51,3.3,4.46,4.26,4.9,0.95,1.02,2.04,2.8
4/25/22,6052,1.07,1.29,2.23,3.77,0.88,1.06,1.14,1.23,0.71,0.82,1.2,1.25,0.81,0.83,1.74,3.37,3.23,4.37,4.16,4.76,0.94,1,2,2.75
5/10/22,6372,1.07,1.29,2.22,3.7,0.88,1.04,1.15,1.23,0.7,0.82,1.21,1.25,0.8,0.82,1.75,3.41,3.23,4.37,4.15,4.77,0.92,0.99,1.99,2.79
5/24/22,6805,1.01,1.21,2.06,3.44,0.86,1.02,1.12,1.19,0.69,0.8,1.18,1.23,0.76,0.78,1.64,3.13,3.22,4.35,4.14,4.75,0.85,0.9,1.78,2.41
