hydrogen_peroxide,silver_nitrate,sodium_borohydride,potassium_bromide,trisodium_citrate,absorbance,lambda_max
0.52631579,0,0.5,0.52,1,0.034,0.53439153
0.52631579,0.05263158,0.5,0.52,1,0.037,0.53042328
0.52631579,0.10526316,0.5,0.52,1,0.033,0.53042328
0.52631579,0.15789474,0.5,0.52,1,0.033,0.53042328
0.52631579,0.21052632,0.5,0.52,1,0.111,0.66137566
0.52631579,0.13157895,0.5,0.52,1,0.155,0.65343915
0.52631579,0.15789474,0.5,0.52,1,0.231,0.62698413
0.52631579,0.18421053,0.5,0.52,1,0.281,0.67989418
0.52631579,0.42105263,0.5,0.52,1,0.322,0.68783069
0.52631579,0.47368421,0.5,0.52,1,0.421,0.77380952
0.52631579,0.52631579,0.5,0.52,1,0.486,0.77645503
0.52631579,0.57894737,0.5,0.52,1,0.531,0.78439153
0.52631579,0.63157895,0.5,0.52,1,0.631,0.81613757
0.52631579,0.68421053,0.5,0.52,1,0.624,0.78439153
0.52631579,0.73684211,0.5,0.52,1,0.632,0.7526455
0.52631579,0.78947368,0.5,0.52,1,0.709,0.78968254
0.52631579,0.84210526,0.5,0.52,1,0.717,0.73015873
0.52631579,0.89473684,0.5,0.52,1,0.671,0.73544974
0.52631579,0.94736842,0.5,0.52,1,0.724,0.68783069
0.52631579,1,0.5,0.52,1,0.75,0.67195767
0.52631579,0.52631579,0.5,0,1,0.521,0.52910053
0.52631579,0.52631579,0.5,0.2,1,0.427,1
0.52631579,0.52631579,0.5,0.32,1,0.342,0.98148148
0.52631579,0.52631579,0.5,0.4,1,0.418,0.98677249
0.52631579,0.52631579,0.5,0.52,1,0.299,0.93783069
0.52631579,0.52631579,0.5,0.6,1,0.31,0.85449735
0.52631579,0.52631579,0.5,0.72,1,0.333,0.82142857
0.52631579,0.52631579,0.5,0.8,1,0.349,0.75396825
0.52631579,0.52631579,0.5,1,1,0.287,0.73015873
