experiment,well,scan_id,lambda_max_wavelength,lambda_max_absorbance,well,stock_concentration,stock_volume,additive,equilibration,blank_well
NLM_151,C01,scan_033,729,0.524,C01,0,0,nitrate,N,A01
NLM_151,D05,scan_071,730,0.553,D05,0,0,nitrate,N,A01
NLM_152,C01,scan_033,733,0.541,C01,0,0,nitrate,N,A01
NLM_152,D05,scan_071,733,0.501,D05,0,0,nitrate,N,A01
NLM_158,C01,scan_033,746.8333333,0.562,C01,0,0,nitrate,N,A01
NLM_158,D05,scan_071,740.6666667,0.542,D05,0,0,nitrate,N,A01
CNH_047,D08,scan_036,596.25,0.475,D08,0.01,13,KBr,middle,A06
CNH_048,D03,scan_036,603.5,0.463,D03,0.01,13,KBr,N,A01
CNH_049,D09,scan_036,585,0.481,D09,0.01,13,KBr,N,A07
CNH_064,B01,scan_031,588,0.471,B01,0.01,13,KBr,N,A01
CNH_065,B07,scan_036,408.25,0.016,B07,0.01,13,KBr,N,A07
CNH_065,D09,scan_037,580,0.424,D09,0.01,13,KBr,N,A07
CNH_067,B07,scan_036,612.5,0.474,B07,0.01,13,KBr,N,A07
CNH_067,D09,scan_037,608.125,0.447,D09,0.01,13,KBr,N,A07
CMH_016,B01,scan_028,591.3333333,0.476,B01,0.01,13,KBr,N,A01
CMH_016,F04,scan_062,564,0.492,F04,0.01,13,KBr,N,A01
CMH_016,B08,scan_066,582,0.464,B08,0.01,13,KBr,N,A01
CMH_018,B01,scan_028,564,0.462,B01,0.01,13,KBr,N,A01
CMH_018,F04,scan_062,596.3333333,0.497,F04,0.01,13,KBr,N,A01
CMH_018,B08,scan_066,594.75,0.521,B08,0.01,13,KBr,N,A01
CMH_024,B01,scan_032,586,0.482,B01,0.01,13,KBr,N,A01
CMH_024,B05,scan_070,579.5,0.452,B05,0.01,13,KBr,N,A01
CMH_024,B09,scan_074,555.5,0.452,B09,0.01,13,KBr,N,A01
CMH_028,B01,scan_032,621,0.477,B01,0.01,13,KBr,N,A01
CMH_028,B05,scan_070,623.5,0.487,B05,0.01,13,KBr,N,A01
CMH_028,B09,scan_074,605.3333333,0.522,B09,0.01,13,KBr,N,A01
CMH_030,B01,scan_032,582,0.457,B01,0.01,13,KBr,N,A01
CMH_030,B05,scan_070,593,0.412,B05,0.01,13,KBr,N,A01
CMH_030,B09,scan_074,590.8,0.5,B09,0.01,13,KBr,N,A01
CMH_031,B01,scan_032,585.9,0.473,B01,0.01,13,KBr,N,A01
CMH_031,B05,scan_070,595,0.444,B05,0.01,13,KBr,N,A01
CMH_031,B09,scan_074,614,0.505,B09,0.01,13,KBr,N,A01
CMH_032,B01,scan_032,579,0.45,B01,0.01,13,KBr,N,A01
CMH_032,B05,scan_070,563.8,0.479,B05,0.01,13,KBr,N,A01
CMH_032,B09,scan_074,569.3333333,0.467,B09,0.01,13,KBr,N,A01
CMH_037,B01,scan_024,582,0.471,B01,0.01,13,KBr,N,A01
CMH_037,A07,scan_057,587,0.459,A07,0.01,13,KBr,N,A01
CMH_037,H12,scan_090,562,0.497,H12,0.01,13,KBr,N,A01
CMH_038,B01,scan_024,587,0.462,B01,0.01,13,KBr,N,A01
CMH_038,A07,scan_081,583,0.503,A07,0.01,13,KBr,N,A01
CMH_038,H12,scan_103,562,0.457,H12,0.01,13,KBr,N,A01
NLM_107,C06,scan_062,635,0.49,C06,0.01,13,KBr,N,A03
NLM_107,C10,scan_088,621.6666667,0.518,C10,0.01,13,KBr,N,A03
CMH_046,B01,scan_024,591.5,0.541,B01,0.01,13,KBr,N,A01
CMH_046,A07,scan_081,615.5,0.479,A07,0.01,13,KBr,N,A01
CMH_046,H12,scan_114,622.1666667,0.508,H12,0.01,13,KBr,N,A01
NLM_151,B01,scan_033,575,0.474,B01,0.01,13,KBr,N,A01
NLM_151,C05,scan_071,577,0.429,C05,0.01,13,KBr,N,A01
NLM_152,B01,scan_033,615,0.43,B01,0.01,13,KBr,N,A01
NLM_152,C05,scan_071,634.5,0.433,C05,0.01,13,KBr,N,A01
NLM_158,B01,scan_033,604.4,0.484,B01,0.01,13,KBr,N,A01
NLM_158,C05,scan_071,601,0.478,C05,0.01,13,KBr,N,A01
