Experiment,well,scan id,lambda max wavelength,lambda max absorbance,well,concentration,volume,additive
NLM_151,C01,scan_033,729,0.524,C01,0,0,nitrate
NLM_151,D05,scan_071,730,0.553,D05,0,0,nitrate
NLM_152,C01,scan_033,733,0.541,C01,0,0,nitrate
NLM_152,D05,scan_071,733,0.501,D05,0,0,nitrate
NLM_158,C01,scan_033,746.8333333,0.562,C01,0,0,nitrate
NLM_158,D05,scan_071,740.6666667,0.542,D05,0,0,nitrate
CMH_057,C05,scan_038,749,0.668,C05,1,20,nitrate
CMH_057,F09,scan_066,740,0.606,F09,1,20,nitrate
CMH_059,H05,scan_043,763,0.649,H05,1,20,nitrate
CMH_059,G10,scan_087,784,0.693,G10,1,20,nitrate
NLM_107,D06,scan_062,837,0.695,D06,1,30,nitrate
NLM_151,D01,scan_033,737.125,0.493,D01,1,30,nitrate
NLM_151,E05,scan_071,753.4,0.585,E05,1,30,nitrate
NLM_152,D01,scan_033,759,0.548,D01,1,30,nitrate
NLM_152,E05,scan_071,758.5,0.539,E05,1,30,nitrate
NLM_158,D01,scan_033,776,0.581,D01,1,30,nitrate
NLM_158,E05,scan_071,757.5,0.565,E05,1,30,nitrate
NLM_107,E06,scan_062,805.6666667,0.674,E06,1,35,nitrate
NLM_151,E01,scan_033,747.5,0.534,E01,1,35,nitrate
NLM_151,F05,scan_071,749,0.573,F05,1,35,nitrate
NLM_152,E01,scan_033,783.5,0.539,E01,1,35,nitrate
NLM_152,F05,scan_071,758.5,0.522,F05,1,35,nitrate
NLM_158,E01,scan_033,757.75,0.573,E01,1,35,nitrate
NLM_158,F05,scan_071,768.5,0.618,F05,1,35,nitrate
NLM_107,F06,scan_062,789.8,0.675,F06,1,40,nitrate
NLM_151,F01,scan_033,727,0.499,F01,1,40,nitrate
NLM_151,G05,scan_071,770.6666667,0.592,G05,1,40,nitrate
NLM_152,F01,scan_033,748.3333333,0.537,F01,1,40,nitrate
NLM_152,G05,scan_071,756.3333333,0.495,G05,1,40,nitrate
NLM_158,F01,scan_033,773.6666667,0.609,F01,1,40,nitrate
NLM_158,G05,scan_071,780,0.6,G05,1,40,nitrate
NLM_107,G06,scan_062,846.5,0.688,G06,1,45,nitrate
NLM_151,G01,scan_033,754.5,0.55,G01,1,45,nitrate
NLM_151,H05,scan_071,767,0.604,H05,1,45,nitrate
NLM_152,G01,scan_033,770.5,0.566,G01,1,45,nitrate
NLM_152,H05,scan_071,752.3333333,0.538,H05,1,45,nitrate
NLM_158,G01,scan_033,760.25,0.585,G01,1,45,nitrate
