Experiment,well,scan id,lambda max wavelength,lambda max absorbance,well,concentration,volume,additive,Equilibration,temp,Minutes_Between_LastAddition_and_Scan
CNH_049,C07,scan_036,690,0.537,C07,0.001,20,C4,N,26.3,78.41601953
CNH_049,E09,scan_037,674,0.478,E09,0.001,20,C4,N,26.5,46.63018728
CNH_049,D07,scan_036,745,0.61,D07,0.001,50,C4,N,26.3,76.24456335
CNH_049,F09,scan_037,687,0.545,F09,0.001,50,C4,N,26.5,44.46902713
CNH_049,E07,scan_036,692.6666667,0.546,E07,0.01,10,C4,N,26.3,74.07802232
CNH_049,G09,scan_037,736,0.566,G09,0.01,10,C4,N,26.5,42.32519377
CNH_049,F07,scan_036,703.5,0.528,F07,0.01,20,C4,N,26.3,71.91735642
CNH_049,H09,scan_038,710,0.533,H09,0.01,20,C4,N,26.6,47.3326811
CNH_049,G07,scan_036,726,0.53,G07,0.01,50,C4,N,26.3,69.75035652
CNH_049,A10,scan_038,697,0.55,A10,0.01,50,C4,N,26.6,45.18468027
CNH_049,H07,scan_036,675,0.552,H07,0.1,10,C4,N,26.3,67.59534862
CNH_049,B10,scan_038,691,0.563,B10,0.1,10,C4,N,26.6,43.00568597
CNH_049,A08,scan_036,684,0.52,A08,0.1,20,C4,N,26.3,65.43518772
CNH_049,C10,scan_039,693,0.527,C10,0.1,20,C4,N,26.7,48.01269015
CNH_049,B08,scan_036,691,0.525,B08,0.1,50,C4,N,26.3,63.25402502
CNH_049,D10,scan_039,704.6,0.55,D10,0.1,50,C4,N,26.7,45.83168498
CNH_049,C08,scan_036,759,0.614,C08,1,10,C4,N,26.3,61.08902367
CNH_049,E10,scan_039,693,0.563,E10,1,10,C4,N,26.7,43.68152702
CNH_049,D08,scan_036,729,0.58,D08,1,20,C4,N,26.3,58.91235115
CNH_049,F10,scan_039,672.6666667,0.529,F10,1,20,C4,N,26.7,41.54035278
CMH_057,H02,scan_034,748,0.59,H02,1,20,C4,Y,25.9,46.07171393
CMH_057,C07,scan_062,770.5,0.593,C07,1,20,C4,Y,26,45.9988851
CMH_016,C01,scan_028,762,0.596,C01,1,30,C4,Y,25.9,61.2612527
CMH_016,G04,scan_062,726.25,0.566,G04,1,30,C4,Y,26.4,63.65606498
CMH_038,C01,scan_024,789,0.609,C01,1,30,C4,Y,26.1,53.02076007
CMH_038,B04,scan_052,759.5,0.634,B04,1,30,C4,Y,26.2,53.1239283
CMH_068,H06,scan_051,785.6666667,0.614,H06,1,30,C4,Y,25.3,52.85239807
CMH_016,D01,scan_028,749.8333333,0.555,D01,1,35,C4,Y,25.9,59.04008567
CMH_016,H04,scan_062,748.6666667,0.548,H04,1,35,C4,Y,26.4,61.43874652
